"","gene_id","Teso_resistant","teso_susceptible","Teso_resistant.1","teso_susceptible.1"
"10646","AFUN018839",136,104,136,104
"10647","AFUN018840",6,3,6,3
"10648","AFUN018841",36,0,36,0
"10649","AFUN018842",314,40,314,40
"10650","AFUN018843",2355,627,2355,627
"10651","AFUN018844",22,14,22,14
"10652","AFUN018845",482,291,482,291
"10653","AFUN018846",323,187,323,187
"10654","AFUN018847",180,434,180,434
"10655","AFUN018848",28,32,28,32
"10656","AFUN018849",304,121,304,121
"10657","AFUN018850",4,3,4,3
"10658","AFUN018851",7,11,7,11
"10659","AFUN018852",0,0,0,0
"10660","AFUN018853",921,332,921,332
"10661","AFUN018854",0,3,0,3
"10662","AFUN018855",0,0,0,0
"10663","AFUN018856",129,20,129,20
"10664","AFUN018857",205,106,205,106
"10665","AFUN018858",35,14,35,14
"10666","AFUN018859",37,111,37,111
"10667","AFUN018860",7,25,7,25
"10668","AFUN018861",112,34,112,34
"10669","AFUN018862",54,128,54,128
"10670","AFUN018863",88,44,88,44
"10671","AFUN018864",108,44,108,44
"10672","AFUN018865",0,11,0,11
"10673","AFUN018866",0,3,0,3
"10674","AFUN018867",207,106,207,106
"10675","AFUN018868",269,358,269,358
"10676","AFUN018869",6,7,6,7
"10677","AFUN018870",0,0,0,0
"10678","AFUN018871",19,13,19,13
"10679","AFUN018872",4,0,4,0
"10680","AFUN018873",17,20,17,20
"10681","AFUN018874",865,475,865,475
"10682","AFUN018875",10,0,10,0
"10683","AFUN018876",542,516,542,516
"10684","AFUN018877",2,3,2,3
"10685","AFUN018878",698,1179,698,1179
"10686","AFUN018879",560,369,560,369
"10687","AFUN018880",189,58,189,58
"10688","AFUN018881",81,69,81,69
"10689","AFUN018882",4,6,4,6
"10690","AFUN018883",312,109,312,109
"10691","AFUN018884",2,1,2,1
"10692","AFUN018885",150,238,150,238
"10693","AFUN018886",23,33,23,33
"10694","AFUN018887",0,0,0,0
"10695","AFUN018888",55,18,55,18
"10696","AFUN018889",0,0,0,0
"10697","AFUN018890",0,0,0,0
"10698","AFUN018891",68,5,68,5
"10699","AFUN018892",61,19,61,19
"10700","AFUN018893",74,46,74,46
"10701","AFUN018894",4,0,4,0
"10702","AFUN018895",60,43,60,43
"10703","AFUN018896",355,84,355,84
"10704","AFUN018897",0,2,0,2
"10705","AFUN018898",2,5,2,5
"10706","AFUN018899",0,0,0,0
"10707","AFUN018900",0,0,0,0
"10708","AFUN018901",515,255,515,255
"10709","AFUN018902",1,2,1,2
"10710","AFUN018903",52,13,52,13
"10711","AFUN018904",0,0,0,0
"10712","AFUN018905",0,0,0,0
"10713","AFUN018906",40,119,40,119
"10714","AFUN018907",387,287,387,287
"10715","AFUN018908",345,71,345,71
"10716","AFUN018909",310,74,310,74
"10717","AFUN018910",49,223,49,223
"10718","AFUN018911",0,2,0,2
"10719","AFUN018912",263,74,263,74
"10720","AFUN018913",394,832,394,832
"10721","AFUN018914",136,26,136,26
"10722","AFUN018915",2,8,2,8
"10723","AFUN018916",0,0,0,0
"10724","AFUN018917",24,4,24,4
"10725","AFUN018918",0,4,0,4
"10726","AFUN018919",1766,403,1766,403
"10727","AFUN018920",20,14,20,14
"10728","AFUN018921",19,49,19,49
"10729","AFUN018922",0,0,0,0
"10730","AFUN018923",2,3,2,3
"10731","AFUN018924",80,5,80,5
"10732","AFUN018925",249,42,249,42
"10733","AFUN018926",0,76,0,76
"10734","AFUN018927",6,18,6,18
"10735","AFUN018928",4,0,4,0
"10736","AFUN018929",241,191,241,191
"10737","AFUN018930",292,180,292,180
"10738","AFUN018931",341,277,341,277
"10739","AFUN018932",0,0,0,0
"10740","AFUN018933",0,12,0,12
"10741","AFUN018934",84,17,84,17
"10742","AFUN018935",30,8,30,8
"10743","AFUN018936",420,113,420,113
"10744","AFUN018937",3,9,3,9
"10745","AFUN018938",5,2,5,2
"10746","AFUN018939",222,120,222,120
"10747","AFUN018940",135,41,135,41
"10748","AFUN018941",135,65,135,65
"10749","AFUN018942",0,0,0,0
"10750","AFUN018943",0,2,0,2
"10751","AFUN018944",4,0,4,0
"10752","AFUN018945",30,19,30,19
"10753","AFUN018946",0,0,0,0
"10754","AFUN018947",61,27,61,27
"10755","AFUN018948",13,28,13,28
"10756","AFUN018949",2,0,2,0
"10757","AFUN018950",324,117,324,117
"10758","AFUN018951",6387,3677,6387,3677
"10759","AFUN018952",24,128,24,128
"10760","AFUN018953",75,38,75,38
"10761","AFUN018954",1832,1132,1832,1132
"10762","AFUN018955",2,15,2,15
"10763","AFUN018956",7,2,7,2
"10764","AFUN018957",222,156,222,156
"10765","AFUN018958",241,227,241,227
"10766","AFUN018959",62,30,62,30
"10767","AFUN018960",10,103,10,103
"10768","AFUN018961",6,6,6,6
"10769","AFUN018962",9,45,9,45
"10770","AFUN018963",310,98,310,98
"10771","AFUN018964",0,1,0,1
"10772","AFUN018965",763,346,763,346
"10773","AFUN018966",0,12,0,12
"10774","AFUN018967",0,0,0,0
"10775","AFUN018968",1151,174,1151,174
"10776","AFUN018969",0,0,0,0
"10777","AFUN018970",0,19,0,19
"10778","AFUN018971",102,69,102,69
"10779","AFUN018972",8,0,8,0
"10780","AFUN018973",27,11,27,11
"10781","AFUN018974",0,0,0,0
"10782","AFUN018975",35,17,35,17
"10783","AFUN018976",499,539,499,539
"10784","AFUN018977",0,0,0,0
"10785","AFUN018978",3217,2195,3217,2195
"10786","AFUN018979",6,18,6,18
"10787","AFUN018980",58,38,58,38
"10788","AFUN018981",22,24,22,24
"10789","AFUN018982",0,0,0,0
"10790","AFUN018983",14,2,14,2
"10791","AFUN018984",0,5,0,5
"10792","AFUN018985",501,97,501,97
"10793","AFUN018986",870,204,870,204
"10794","AFUN018987",5,4,5,4
"10795","AFUN018988",34,36,34,36
"10796","AFUN018989",33,67,33,67
"10797","AFUN018990",95,17,95,17
"10798","AFUN018991",0,0,0,0
"10799","AFUN018992",6295,1880,6295,1880
"10800","AFUN018993",286,550,286,550
"10801","AFUN018994",588,110,588,110
"10802","AFUN018995",420,406,420,406
"10803","AFUN018996",2716,654,2716,654
"10804","AFUN018997",142,62,142,62
"10805","AFUN018998",122,9,122,9
"10806","AFUN018999",47,43,47,43
"10807","AFUN019000",6,6,6,6
"10808","AFUN019001",18,11,18,11
"10809","AFUN019002",1136,180,1136,180
"10810","AFUN019003",42,41,42,41
"10811","AFUN019004",240,110,240,110
"10812","AFUN019005",1287,1722,1287,1722
"10813","AFUN019006",0,0,0,0
"10814","AFUN019007",12,2,12,2
"10815","AFUN019008",806,586,806,586
"10816","AFUN019009",0,0,0,0
"10817","AFUN019010",514,174,514,174
"10818","AFUN019011",87,83,87,83
"10819","AFUN019012",264,102,264,102
