"","gene_id","Teso_resistant","teso_susceptible","Teso_resistant.1","teso_susceptible.1"
"1","AFUN000003",228,76,228,76
"2","AFUN000006",93,32,93,32
"3","AFUN000007",3283,1096,3283,1096
"4","AFUN000008",1637,378,1637,378
"5","AFUN000009",1495,571,1495,571
"6","AFUN000011",2424,2216,2424,2216
"7","AFUN000012",3288,1280,3288,1280
"8","AFUN000013",277,24,277,24
"9","AFUN000014",277,115,277,115
"10","AFUN000015",11,25,11,25
"11","AFUN000018",713,277,713,277
"12","AFUN000019",3731,590,3731,590
"13","AFUN000020",776,1261,776,1261
"14","AFUN000021",379,127,379,127
"15","AFUN000022",1784,1884,1784,1884
"16","AFUN000027",160,127,160,127
"17","AFUN000028",566,83,566,83
"18","AFUN000029",279,104,279,104
"19","AFUN000030",2886,980,2886,980
"20","AFUN000031",255,69,255,69
"21","AFUN000032",661,84,661,84
"22","AFUN000033",1319,652,1319,652
"23","AFUN000035",3828,971,3828,971
"24","AFUN000036",802,183,802,183
"25","AFUN000037",487,105,487,105
"26","AFUN000038",5076,3291,5076,3291
"27","AFUN000039",17246,6414,17246,6414
"28","AFUN000040",40,21,40,21
"29","AFUN000041",464,147,464,147
"30","AFUN000042",513,95,513,95
"31","AFUN000043",12,18,12,18
"32","AFUN000044",1909,2020,1909,2020
"33","AFUN000046",1508,637,1508,637
"34","AFUN000047",614,77,614,77
"35","AFUN000048",0,0,0,0
"36","AFUN000052",1056,1126,1056,1126
"37","AFUN000053",6,34,6,34
"38","AFUN000054",0,14,0,14
"39","AFUN000055",3623,2703,3623,2703
"40","AFUN000056",0,0,0,0
"41","AFUN000057",24,56,24,56
"42","AFUN000058",11800,11502,11800,11502
"43","AFUN000060",153,26,153,26
"44","AFUN000061",12,56,12,56
"45","AFUN000062",10,23,10,23
"46","AFUN000070",6,0,6,0
"47","AFUN000071",484,82,484,82
"48","AFUN000077",3609,2938,3609,2938
"49","AFUN000078",906,750,906,750
"50","AFUN000079",184,60,184,60
"51","AFUN000080",2827,1224,2827,1224
"52","AFUN000081",419,73,419,73
"53","AFUN000082",4039,1863,4039,1863
"54","AFUN000083",136,48,136,48
"55","AFUN000085",879,189,879,189
"56","AFUN000087",2657,323,2657,323
"57","AFUN000088",844,360,844,360
"58","AFUN000089",482,121,482,121
"59","AFUN000090",460,61,460,61
"60","AFUN000091",139,69,139,69
"61","AFUN000092",165,39,165,39
"62","AFUN000093",2782,519,2782,519
"63","AFUN000095",330,105,330,105
"64","AFUN000096",76,38,76,38
"65","AFUN000097",3127,2387,3127,2387
"66","AFUN000098",310,97,310,97
"67","AFUN000099",85,25,85,25
"68","AFUN000100",16,33,16,33
"69","AFUN000101",0,18,0,18
"70","AFUN000102",5,23,5,23
"71","AFUN000103",56,51,56,51
"72","AFUN000104",134,117,134,117
"73","AFUN000105",347,105,347,105
"74","AFUN000106",5164,1203,5164,1203
"75","AFUN000107",2,8,2,8
"76","AFUN000108",40,16,40,16
"77","AFUN000109",4322,979,4322,979
"78","AFUN000110",1971,405,1971,405
"79","AFUN000111",549,310,549,310
"80","AFUN000114",425,601,425,601
"81","AFUN000117",2847,2251,2847,2251
"82","AFUN000118",53,513,53,513
"83","AFUN000119",331,198,331,198
"84","AFUN000120",117,39,117,39
"85","AFUN000121",131,73,131,73
"86","AFUN000122",118,61,118,61
"87","AFUN000125",648,330,648,330
"88","AFUN000126",54,142,54,142
"89","AFUN000127",4,10,4,10
"90","AFUN000130",404,127,404,127
"91","AFUN000133",107,26,107,26
"92","AFUN000134",102,13,102,13
"93","AFUN000136",5417,2569,5417,2569
"94","AFUN000139",140,71,140,71
"95","AFUN000140",84,41,84,41
"96","AFUN000148",214,83,214,83
"97","AFUN000149",268,60,268,60
"98","AFUN000150",30,44,30,44
"99","AFUN000151",2252,616,2252,616
"100","AFUN000153",232,100,232,100
"101","AFUN000154",22,25,22,25
"102","AFUN000157",274,82,274,82
"103","AFUN000159",64,36,64,36
"104","AFUN000160",23,5,23,5
"105","AFUN000163",1548,819,1548,819
"106","AFUN000164",202,31,202,31
"107","AFUN000165",1815,816,1815,816
"108","AFUN000166",34,0,34,0
"109","AFUN000167",4,7,4,7
"110","AFUN000168",41,58,41,58
"111","AFUN000169",523,174,523,174
"112","AFUN000173",0,4,0,4
"113","AFUN000174",2,8,2,8
"114","AFUN000176",0,0,0,0
"115","AFUN000177",0,1,0,1
"116","AFUN000178",5,5,5,5
"117","AFUN000179",472,165,472,165
"118","AFUN000180",1100,315,1100,315
"119","AFUN000181",39,4,39,4
"120","AFUN000183",635,86,635,86
"121","AFUN000186",736,366,736,366
"122","AFUN000188",5849,1573,5849,1573
"123","AFUN000189",268,95,268,95
"124","AFUN000190",290,442,290,442
"125","AFUN000191",56,64,56,64
"126","AFUN000192",408,78,408,78
"127","AFUN000193",2997,955,2997,955
"128","AFUN000194",2604,394,2604,394
"129","AFUN000195",1307,396,1307,396
"130","AFUN000197",1645,1504,1645,1504
"131","AFUN000200",4177,1081,4177,1081
"132","AFUN000201",1560,250,1560,250
"133","AFUN000202",521,557,521,557
"134","AFUN000203",213,113,213,113
"135","AFUN000204",2097,1043,2097,1043
"136","AFUN000205",1402,931,1402,931
"137","AFUN000206",983,226,983,226
"138","AFUN000207",890,122,890,122
"139","AFUN000208",2864,814,2864,814
"140","AFUN000209",7767,3083,7767,3083
"141","AFUN000210",109,115,109,115
"142","AFUN000211",476,264,476,264
"143","AFUN000213",345,260,345,260
"144","AFUN000215",79,29,79,29
"145","AFUN000216",1124,402,1124,402
"146","AFUN000217",1722,719,1722,719
"147","AFUN000219",259,146,259,146
"148","AFUN000220",1033,620,1033,620
"149","AFUN000225",1041,317,1041,317
"150","AFUN000228",264,63,264,63
"151","AFUN000230",2283,1727,2283,1727
"152","AFUN000231",136,97,136,97
"153","AFUN000232",183,86,183,86
"154","AFUN000233",221,114,221,114
"155","AFUN000234",578,83,578,83
"156","AFUN000235",320,195,320,195
"157","AFUN000236",182,75,182,75
"158","AFUN000237",1107,397,1107,397
"159","AFUN000238",202,118,202,118
"160","AFUN000239",34,29,34,29
"161","AFUN000240",567,121,567,121
"162","AFUN000241",585,247,585,247
"163","AFUN000242",1581,762,1581,762
"164","AFUN000243",449,109,449,109
"165","AFUN000244",678,243,678,243
"166","AFUN000247",65,8,65,8
"167","AFUN000248",1000,1716,1000,1716
"168","AFUN000249",4540,1968,4540,1968
"169","AFUN000251",364,53,364,53
"170","AFUN000252",267,70,267,70
"171","AFUN000257",25,6,25,6
"172","AFUN000258",173,126,173,126
"173","AFUN000259",538,246,538,246
"174","AFUN000260",893,285,893,285
"175","AFUN000261",107,40,107,40
"176","AFUN000262",403,98,403,98
"177","AFUN000263",151,113,151,113
"178","AFUN000265",593,195,593,195
"179","AFUN000266",445,909,445,909
"180","AFUN000267",2290,792,2290,792
"181","AFUN000268",134,32,134,32
"182","AFUN000269",86,26,86,26
"183","AFUN000270",370,238,370,238
"184","AFUN000271",176,237,176,237
"185","AFUN000273",163,63,163,63
"186","AFUN000277",1276,211,1276,211
"187","AFUN000278",51,14,51,14
"188","AFUN000279",26,12,26,12
"189","AFUN000282",883,140,883,140
"190","AFUN000283",674,531,674,531
"191","AFUN000284",14786,5637,14786,5637
"192","AFUN000287",43,34,43,34
"193","AFUN000288",11,67,11,67
"194","AFUN000289",1,0,1,0
"195","AFUN000294",1079,280,1079,280
"196","AFUN000296",193,37,193,37
"197","AFUN000297",308,397,308,397
"198","AFUN000298",887,367,887,367
"199","AFUN000301",814,364,814,364
"200","AFUN000302",641,159,641,159
"201","AFUN000303",114,19,114,19
"202","AFUN000304",163,31,163,31
"203","AFUN000305",549,110,549,110
"204","AFUN000306",497,36,497,36
"205","AFUN000309",116,100,116,100
"206","AFUN000319",78,140,78,140
"207","AFUN000320",45,29,45,29
"208","AFUN000321",506,1158,506,1158
"209","AFUN000322",396,200,396,200
"210","AFUN000323",884,572,884,572
"211","AFUN000333",890,291,890,291
"212","AFUN000334",2157,711,2157,711
"213","AFUN000335",453,310,453,310
"214","AFUN000336",4087,2245,4087,2245
"215","AFUN000337",829,555,829,555
"216","AFUN000338",30,18,30,18
"217","AFUN000339",1124,978,1124,978
"218","AFUN000343",203,99,203,99
"219","AFUN000344",458,181,458,181
"220","AFUN000348",0,11,0,11
"221","AFUN000349",104,18,104,18
"222","AFUN000350",1526,809,1526,809
"223","AFUN000351",14,6,14,6
"224","AFUN000354",6854,1741,6854,1741
"225","AFUN000355",8,8,8,8
"226","AFUN000356",8,3,8,3
"227","AFUN000357",67,56,67,56
"228","AFUN000358",12,19,12,19
"229","AFUN000360",0,28,0,28
"230","AFUN000362",2500,1314,2500,1314
"231","AFUN000365",12,30,12,30
"232","AFUN000369",10,0,10,0
"233","AFUN000373",209,91,209,91
"234","AFUN000374",519,514,519,514
"235","AFUN000375",499,355,499,355
"236","AFUN000379",5735,2244,5735,2244
"237","AFUN000380",628,1219,628,1219
"238","AFUN000383",318,204,318,204
"239","AFUN000389",2280,1520,2280,1520
"240","AFUN000390",3401,2491,3401,2491
"241","AFUN000391",1,5,1,5
"242","AFUN000392",31,9,31,9
"243","AFUN000393",9,1,9,1
"244","AFUN000394",353,56,353,56
"245","AFUN000395",2572,589,2572,589
"246","AFUN000397",166,226,166,226
"247","AFUN000398",494,3397,494,3397
"248","AFUN000399",42,32,42,32
"249","AFUN000400",974,220,974,220
"250","AFUN000401",118,15,118,15
"251","AFUN000402",104,27,104,27
"252","AFUN000403",637,462,637,462
"253","AFUN000404",938,183,938,183
"254","AFUN000406",1985,1620,1985,1620
"255","AFUN000407",19,7,19,7
"256","AFUN000408",48,12,48,12
"257","AFUN000411",495,156,495,156
"258","AFUN000413",92,38,92,38
"259","AFUN000414",1118,330,1118,330
"260","AFUN000415",246,27,246,27
"261","AFUN000416",737,278,737,278
"262","AFUN000417",1846,332,1846,332
"263","AFUN000418",1621,630,1621,630
"264","AFUN000419",31,121,31,121
"265","AFUN000420",7778,1457,7778,1457
"266","AFUN000421",64,8,64,8
"267","AFUN000423",484,138,484,138
"268","AFUN000424",217,61,217,61
"269","AFUN000425",551,327,551,327
"270","AFUN000426",4151,534,4151,534
"271","AFUN000427",24,25,24,25
"272","AFUN000428",361,267,361,267
"273","AFUN000429",863,222,863,222
"274","AFUN000430",253,93,253,93
"275","AFUN000432",1,6,1,6
"276","AFUN000433",97,23,97,23
"277","AFUN000434",10,2,10,2
"278","AFUN000436",1083,491,1083,491
"279","AFUN000437",552,114,552,114
"280","AFUN000438",1596,1248,1596,1248
"281","AFUN000440",280,318,280,318
"282","AFUN000441",475,108,475,108
"283","AFUN000443",330,666,330,666
"284","AFUN000447",2219,670,2219,670
"285","AFUN000448",6271,8803,6271,8803
"286","AFUN000449",311,228,311,228
"287","AFUN000450",894,562,894,562
"288","AFUN000451",1025,330,1025,330
"289","AFUN000452",495,290,495,290
"290","AFUN000453",3207,2631,3207,2631
"291","AFUN000454",495,128,495,128
"292","AFUN000456",116,60,116,60
"293","AFUN000457",10,19,10,19
"294","AFUN000458",2507,2297,2507,2297
"295","AFUN000461",3022,681,3022,681
"296","AFUN000462",311,393,311,393
"297","AFUN000463",239,76,239,76
"298","AFUN000464",12,68,12,68
"299","AFUN000467",188,48,188,48
"300","AFUN000469",69,65,69,65
"301","AFUN000470",0,17,0,17
"302","AFUN000471",679,154,679,154
"303","AFUN000472",0,0,0,0
"304","AFUN000473",46,42,46,42
"305","AFUN000474",17,10,17,10
"306","AFUN000475",622,385,622,385
"307","AFUN000476",6001,1326,6001,1326
"308","AFUN000477",30,31,30,31
"309","AFUN000478",776,189,776,189
"310","AFUN000482",58,11,58,11
"311","AFUN000483",91,49,91,49
"312","AFUN000484",145,41,145,41
"313","AFUN000486",46,7,46,7
"314","AFUN000489",793,143,793,143
"315","AFUN000490",61,43,61,43
"316","AFUN000491",42,18,42,18
"317","AFUN000492",625,454,625,454
"318","AFUN000493",193,33,193,33
"319","AFUN000494",6107,1279,6107,1279
"320","AFUN000495",1088,633,1088,633
"321","AFUN000496",1098,224,1098,224
"322","AFUN000497",722,117,722,117
"323","AFUN000499",164,17,164,17
"324","AFUN000501",36,20,36,20
"325","AFUN000502",6,6,6,6
"326","AFUN000503",399,147,399,147
"327","AFUN000504",1768,243,1768,243
"328","AFUN000505",2493,1113,2493,1113
"329","AFUN000506",1581,226,1581,226
"330","AFUN000507",495,312,495,312
"331","AFUN000508",48,282,48,282
"332","AFUN000510",59,131,59,131
"333","AFUN000511",668,192,668,192
"334","AFUN000514",181,140,181,140
"335","AFUN000515",409,142,409,142
"336","AFUN000518",685,261,685,261
"337","AFUN000519",2308,620,2308,620
"338","AFUN000520",15,10,15,10
"339","AFUN000521",146,55,146,55
"340","AFUN000522",634,532,634,532
"341","AFUN000523",1117,413,1117,413
"342","AFUN000527",3053,1007,3053,1007
"343","AFUN000528",3681,1318,3681,1318
"344","AFUN000529",934,396,934,396
"345","AFUN000530",136,62,136,62
"346","AFUN000531",0,0,0,0
"347","AFUN000532",223,198,223,198
"348","AFUN000538",16,38,16,38
"349","AFUN000539",675,220,675,220
"350","AFUN000540",597,346,597,346
"351","AFUN000542",1222,172,1222,172
"352","AFUN000543",168,14,168,14
"353","AFUN000544",304,60,304,60
"354","AFUN000545",8186,1457,8186,1457
"355","AFUN000546",133,79,133,79
"356","AFUN000547",513,154,513,154
"357","AFUN000548",233,75,233,75
"358","AFUN000549",62,21,62,21
"359","AFUN000550",312,49,312,49
"360","AFUN000551",204,34,204,34
"361","AFUN000554",1240,952,1240,952
"362","AFUN000558",75,38,75,38
"363","AFUN000559",57,0,57,0
"364","AFUN000566",13,16,13,16
"365","AFUN000567",742,186,742,186
"366","AFUN000568",21,55,21,55
"367","AFUN000569",35,138,35,138
"368","AFUN000570",5,18,5,18
"369","AFUN000578",77,32,77,32
"370","AFUN000579",51,35,51,35
"371","AFUN000580",569,121,569,121
"372","AFUN000581",2382,1735,2382,1735
"373","AFUN000582",737,180,737,180
"374","AFUN000583",36,38,36,38
"375","AFUN000584",125,94,125,94
"376","AFUN000585",849,271,849,271
"377","AFUN000586",1597,774,1597,774
"378","AFUN000588",13,5,13,5
"379","AFUN000592",2162,776,2162,776
"380","AFUN000593",0,6,0,6
"381","AFUN000597",13,27,13,27
"382","AFUN000601",578,294,578,294
"383","AFUN000602",1896,1614,1896,1614
"384","AFUN000603",150,37,150,37
"385","AFUN000604",368,195,368,195
"386","AFUN000605",153,55,153,55
"387","AFUN000606",42,14,42,14
"388","AFUN000607",1239,396,1239,396
"389","AFUN000608",1372,455,1372,455
"390","AFUN000609",265,90,265,90
"391","AFUN000610",638,72,638,72
"392","AFUN000612",2267,295,2267,295
"393","AFUN000613",1415,940,1415,940
"394","AFUN000614",118,91,118,91
"395","AFUN000616",162,56,162,56
"396","AFUN000617",10,4,10,4
"397","AFUN000618",875,351,875,351
"398","AFUN000619",149,48,149,48
"399","AFUN000620",264,147,264,147
"400","AFUN000621",1013,333,1013,333
"401","AFUN000622",263,465,263,465
"402","AFUN000623",1956,1484,1956,1484
"403","AFUN000624",1496,659,1496,659
"404","AFUN000625",112,60,112,60
"405","AFUN000626",1561,1397,1561,1397
"406","AFUN000627",1952,1026,1952,1026
"407","AFUN000628",11,98,11,98
"408","AFUN000631",282,818,282,818
"409","AFUN000632",4,20,4,20
"410","AFUN000634",186,36,186,36
"411","AFUN000638",6642,7200,6642,7200
"412","AFUN000639",6,10,6,10
"413","AFUN000640",6,6,6,6
"414","AFUN000645",17,5,17,5
"415","AFUN000646",3903,2531,3903,2531
"416","AFUN000648",888,154,888,154
"417","AFUN000650",119,81,119,81
"418","AFUN000651",195,54,195,54
"419","AFUN000652",655,566,655,566
"420","AFUN000653",1115,2471,1115,2471
"421","AFUN000658",1630,614,1630,614
"422","AFUN000659",373,127,373,127
"423","AFUN000660",768,293,768,293
"424","AFUN000661",205,72,205,72
"425","AFUN000662",108,462,108,462
"426","AFUN000665",3291,515,3291,515
"427","AFUN000667",0,1,0,1
"428","AFUN000668",5,1,5,1
"429","AFUN000669",6654,1381,6654,1381
"430","AFUN000676",1355,286,1355,286
"431","AFUN000679",35,26,35,26
"432","AFUN000680",0,0,0,0
"433","AFUN000686",906,414,906,414
"434","AFUN000688",265,91,265,91
"435","AFUN000689",6,82,6,82
"436","AFUN000690",3583,1841,3583,1841
"437","AFUN000691",91,66,91,66
"438","AFUN000692",3,34,3,34
"439","AFUN000697",115,44,115,44
"440","AFUN000698",0,5,0,5
"441","AFUN000699",103,32,103,32
"442","AFUN000700",474,261,474,261
"443","AFUN000701",5449,1851,5449,1851
"444","AFUN000704",202,340,202,340
"445","AFUN000705",1715,1588,1715,1588
"446","AFUN000706",1892,1319,1892,1319
"447","AFUN000707",3922,3722,3922,3722
"448","AFUN000708",2240,647,2240,647
"449","AFUN000711",2135,709,2135,709
"450","AFUN000712",751,126,751,126
"451","AFUN000713",594,4363,594,4363
"452","AFUN000714",2217,726,2217,726
"453","AFUN000718",222,52,222,52
"454","AFUN000720",40,6,40,6
"455","AFUN000722",84,38,84,38
"456","AFUN000725",1199,413,1199,413
"457","AFUN000726",39,9,39,9
"458","AFUN000727",51,7,51,7
"459","AFUN000728",0,9,0,9
"460","AFUN000730",0,4,0,4
"461","AFUN000732",28,45,28,45
"462","AFUN000733",905,247,905,247
"463","AFUN000734",163,55,163,55
"464","AFUN000735",475,286,475,286
"465","AFUN000737",57,62,57,62
"466","AFUN000738",1375,2001,1375,2001
"467","AFUN000739",648,84,648,84
"468","AFUN000740",81,47,81,47
"469","AFUN000741",2115,1147,2115,1147
"470","AFUN000742",390,90,390,90
"471","AFUN000743",326,221,326,221
"472","AFUN000744",0,15,0,15
"473","AFUN000745",5839,1558,5839,1558
"474","AFUN000746",31,3,31,3
"475","AFUN000747",11,0,11,0
"476","AFUN000749",6,0,6,0
"477","AFUN000750",2,0,2,0
"478","AFUN000751",13,4,13,4
"479","AFUN000752",0,11,0,11
"480","AFUN000753",57,26,57,26
"481","AFUN000755",351,64,351,64
"482","AFUN000756",17158,4035,17158,4035
"483","AFUN000757",231,150,231,150
"484","AFUN000761",364,136,364,136
"485","AFUN000763",107,70,107,70
"486","AFUN000764",91,62,91,62
"487","AFUN000765",55,25,55,25
"488","AFUN000766",10971,3480,10971,3480
"489","AFUN000767",181,98,181,98
"490","AFUN000768",139,42,139,42
"491","AFUN000770",16,11,16,11
"492","AFUN000772",3995,4052,3995,4052
"493","AFUN000774",78,84,78,84
"494","AFUN000775",88,72,88,72
"495","AFUN000776",1540,297,1540,297
"496","AFUN000777",225,49,225,49
"497","AFUN000778",174,46,174,46
"498","AFUN000779",1414,206,1414,206
"499","AFUN000780",1554,888,1554,888
"500","AFUN000782",302,69,302,69
"501","AFUN000783",527,171,527,171
"502","AFUN000784",206,192,206,192
"503","AFUN000785",76,56,76,56
"504","AFUN000786",2606,1238,2606,1238
"505","AFUN000787",6,115,6,115
"506","AFUN000788",35,25,35,25
"507","AFUN000789",3736,4667,3736,4667
"508","AFUN000790",263,225,263,225
"509","AFUN000791",89,200,89,200
"510","AFUN000792",629,645,629,645
"511","AFUN000794",47,33,47,33
"512","AFUN000799",60,13,60,13
"513","AFUN000800",2716,744,2716,744
"514","AFUN000801",875,156,875,156
"515","AFUN000802",206,71,206,71
"516","AFUN000803",740,318,740,318
"517","AFUN000804",645,103,645,103
"518","AFUN000805",325,70,325,70
"519","AFUN000806",2451,585,2451,585
"520","AFUN000810",94,93,94,93
"521","AFUN000811",9,6,9,6
"522","AFUN000812",6,0,6,0
"523","AFUN000816",9,32,9,32
"524","AFUN000817",2323,1134,2323,1134
"525","AFUN000818",1021,199,1021,199
"526","AFUN000819",241,296,241,296
"527","AFUN000820",239,151,239,151
"528","AFUN000821",457,122,457,122
"529","AFUN000822",6405,535,6405,535
"530","AFUN000823",1486,425,1486,425
"531","AFUN000824",650,152,650,152
"532","AFUN000825",683,694,683,694
"533","AFUN000826",383,143,383,143
"534","AFUN000827",3076,514,3076,514
"535","AFUN000831",60,91,60,91
"536","AFUN000833",40,42,40,42
"537","AFUN000834",62,840,62,840
"538","AFUN000835",66,72,66,72
"539","AFUN000837",72,34,72,34
"540","AFUN000838",62,67,62,67
"541","AFUN000839",5,18,5,18
"542","AFUN000840",72,13,72,13
"543","AFUN000841",1049,1155,1049,1155
"544","AFUN000842",2072,910,2072,910
"545","AFUN000843",171,116,171,116
"546","AFUN000846",26,26,26,26
"547","AFUN000847",1,13,1,13
"548","AFUN000856",972,195,972,195
"549","AFUN000857",158,52,158,52
"550","AFUN000858",1003,256,1003,256
"551","AFUN000860",725,100,725,100
"552","AFUN000861",382,296,382,296
"553","AFUN000865",79,48,79,48
"554","AFUN000866",3233,1515,3233,1515
"555","AFUN000869",17,2,17,2
"556","AFUN000870",20,2,20,2
"557","AFUN000871",38,5,38,5
"558","AFUN000872",1019,279,1019,279
"559","AFUN000873",265,44,265,44
"560","AFUN000874",121,12,121,12
"561","AFUN000875",5591,1396,5591,1396
"562","AFUN000876",16855,7235,16855,7235
"563","AFUN000877",154,72,154,72
"564","AFUN000878",30,32,30,32
"565","AFUN000879",1352,1223,1352,1223
"566","AFUN000884",214,176,214,176
"567","AFUN000885",444,828,444,828
"568","AFUN000886",187,188,187,188
"569","AFUN000887",169,60,169,60
"570","AFUN000896",1026,571,1026,571
"571","AFUN000897",812,755,812,755
"572","AFUN000898",53,15,53,15
"573","AFUN000899",167,972,167,972
"574","AFUN000900",14,9,14,9
"575","AFUN000901",335,36,335,36
"576","AFUN000903",48,20,48,20
"577","AFUN000904",2549,498,2549,498
"578","AFUN000905",3791,3905,3791,3905
"579","AFUN000906",292,83,292,83
"580","AFUN000907",408,148,408,148
"581","AFUN000912",155,24,155,24
"582","AFUN000913",657,588,657,588
"583","AFUN000914",0,19,0,19
"584","AFUN000915",3794,2004,3794,2004
"585","AFUN000916",8355,1181,8355,1181
"586","AFUN000921",0,0,0,0
"587","AFUN000922",228,107,228,107
"588","AFUN000923",1359,237,1359,237
"589","AFUN000924",411,125,411,125
"590","AFUN000925",2749,859,2749,859
"591","AFUN000931",50,230,50,230
"592","AFUN000932",310,88,310,88
"593","AFUN000935",0,13,0,13
"594","AFUN000936",51,78,51,78
"595","AFUN000938",27,20,27,20
"596","AFUN000940",28,35,28,35
"597","AFUN000942",129,378,129,378
"598","AFUN000947",702,149,702,149
"599","AFUN000948",278,54,278,54
"600","AFUN000949",135,68,135,68
"601","AFUN000950",7017,1473,7017,1473
"602","AFUN000951",114,53,114,53
"603","AFUN000953",377,95,377,95
"604","AFUN000957",1151,405,1151,405
"605","AFUN000958",160,85,160,85
"606","AFUN000959",25,4,25,4
"607","AFUN000960",1214,544,1214,544
"608","AFUN000961",564,143,564,143
"609","AFUN000962",69,37,69,37
"610","AFUN000963",191,445,191,445
"611","AFUN000964",134,59,134,59
"612","AFUN000965",327,68,327,68
"613","AFUN000968",552,245,552,245
"614","AFUN000969",48,12,48,12
"615","AFUN000971",739,189,739,189
"616","AFUN000975",95,36,95,36
"617","AFUN000976",68,43,68,43
"618","AFUN000978",893,210,893,210
"619","AFUN000980",150,107,150,107
"620","AFUN000981",1760,511,1760,511
"621","AFUN000985",1080,581,1080,581
"622","AFUN000986",2807,1495,2807,1495
"623","AFUN000988",40,33,40,33
"624","AFUN000991",625,235,625,235
"625","AFUN000992",193,60,193,60
"626","AFUN000993",1108,242,1108,242
"627","AFUN000994",636,255,636,255
"628","AFUN000995",686,259,686,259
"629","AFUN000999",1403,554,1403,554
"630","AFUN001000",326,248,326,248
"631","AFUN001001",557,56,557,56
"632","AFUN001003",722,624,722,624
"633","AFUN001007",1483,582,1483,582
"634","AFUN001008",1977,271,1977,271
"635","AFUN001009",27,12,27,12
"636","AFUN001010",16512,7545,16512,7545
"637","AFUN001011",1362,1044,1362,1044
"638","AFUN001012",294,73,294,73
"639","AFUN001013",12,44,12,44
"640","AFUN001014",57,51,57,51
"641","AFUN001015",2352,1327,2352,1327
"642","AFUN001016",946,345,946,345
"643","AFUN001017",2027,2475,2027,2475
"644","AFUN001018",118,16,118,16
"645","AFUN001025",450,257,450,257
"646","AFUN001026",624,286,624,286
"647","AFUN001027",1290,320,1290,320
"648","AFUN001028",21384,9225,21384,9225
"649","AFUN001030",379,157,379,157
"650","AFUN001033",292,136,292,136
"651","AFUN001034",5922,1501,5922,1501
"652","AFUN001035",383,159,383,159
"653","AFUN001036",628,53,628,53
"654","AFUN001037",732,195,732,195
"655","AFUN001038",1366,294,1366,294
"656","AFUN001040",5315,5315,5315,5315
"657","AFUN001041",24,8,24,8
"658","AFUN001042",179,83,179,83
"659","AFUN001043",31,38,31,38
"660","AFUN001046",73,5,73,5
"661","AFUN001047",292,288,292,288
"662","AFUN001049",6361,2465,6361,2465
"663","AFUN001050",71,51,71,51
"664","AFUN001051",1081,461,1081,461
"665","AFUN001052",320,115,320,115
"666","AFUN001056",178,76,178,76
"667","AFUN001059",24,40,24,40
"668","AFUN001061",409,102,409,102
"669","AFUN001062",1468,642,1468,642
"670","AFUN001064",6,0,6,0
"671","AFUN001066",829,167,829,167
"672","AFUN001067",773,98,773,98
"673","AFUN001068",0,0,0,0
"674","AFUN001070",0,0,0,0
"675","AFUN001071",7,5,7,5
"676","AFUN001072",7,2,7,2
"677","AFUN001073",1595,482,1595,482
"678","AFUN001074",12,7,12,7
"679","AFUN001075",145,26,145,26
"680","AFUN001076",0,2,0,2
"681","AFUN001077",188,240,188,240
"682","AFUN001078",90,222,90,222
"683","AFUN001079",0,3,0,3
"684","AFUN001080",0,0,0,0
"685","AFUN001081",10,45,10,45
"686","AFUN001082",0,0,0,0
"687","AFUN001083",0,0,0,0
"688","AFUN001084",114,84,114,84
"689","AFUN001085",1218,683,1218,683
"690","AFUN001086",6019,1647,6019,1647
"691","AFUN001087",345,196,345,196
"692","AFUN001088",754,219,754,219
"693","AFUN001091",237,205,237,205
"694","AFUN001092",5,9,5,9
"695","AFUN001096",12,16,12,16
"696","AFUN001097",250,28,250,28
"697","AFUN001100",1839,523,1839,523
"698","AFUN001101",233,58,233,58
"699","AFUN001102",435,746,435,746
"700","AFUN001103",904,112,904,112
"701","AFUN001104",10,12,10,12
"702","AFUN001105",280,192,280,192
"703","AFUN001107",878,367,878,367
"704","AFUN001108",47,31,47,31
"705","AFUN001112",43,89,43,89
"706","AFUN001114",130,613,130,613
"707","AFUN001115",216,121,216,121
"708","AFUN001116",7,28,7,28
"709","AFUN001120",1146,285,1146,285
"710","AFUN001121",399,116,399,116
"711","AFUN001122",85,35,85,35
"712","AFUN001123",77,22,77,22
"713","AFUN001124",182,35,182,35
"714","AFUN001125",220,44,220,44
"715","AFUN001128",328,66,328,66
"716","AFUN001129",278,35,278,35
"717","AFUN001131",34,24,34,24
"718","AFUN001133",460,184,460,184
"719","AFUN001134",453,261,453,261
"720","AFUN001136",9,17,9,17
"721","AFUN001137",3189,1544,3189,1544
"722","AFUN001139",2391,366,2391,366
"723","AFUN001142",2522,435,2522,435
"724","AFUN001143",436,493,436,493
"725","AFUN001144",6605,3032,6605,3032
"726","AFUN001146",283,81,283,81
"727","AFUN001147",79,32,79,32
"728","AFUN001148",4359,2045,4359,2045
"729","AFUN001149",199,72,199,72
"730","AFUN001150",1230,319,1230,319
"731","AFUN001151",1319,683,1319,683
"732","AFUN001152",986,123,986,123
"733","AFUN001153",1021,359,1021,359
"734","AFUN001154",891,311,891,311
"735","AFUN001155",406,139,406,139
"736","AFUN001156",1865,435,1865,435
"737","AFUN001157",7754,3106,7754,3106
"738","AFUN001158",1,1,1,1
"739","AFUN001159",23,38,23,38
"740","AFUN001160",850,96,850,96
"741","AFUN001161",2,13,2,13
"742","AFUN001165",201,38,201,38
"743","AFUN001166",69,17,69,17
