"","komb_02_resistant","kombe_01_resistant","komb_04_susceptible","komb_06_susceptible","kombewa_05_susceptible","Kombewa_07_unexp","Siaya_unexposed"
"AFUN000003",158.149426421332,132.363335775415,118.22598068082,115.618870014678,93.7671493869684,126.776704468258,95.0780507121828
"AFUN000006",47.7432230705908,41.7989481396046,43.429952086832,16.5169814306683,34.4208523066087,37.028839423897,27.4263607823604
"AFUN000007",1314.4306101622,1960.11734078903,1226.896146453,1246.39682949889,2044.47993441839,2121.94078122366,1512.10669113414
"AFUN000008",525.175453776498,450.288668594831,705.73672141102,729.288257015663,528.775506986006,497.692706155091,714.913804393528
"AFUN000009",953.372485690859,619.384413341414,891.520405338023,917.327737918656,635.598841730653,768.819123631761,912.383602026523
"AFUN000011",1566.57450700376,1379.99860600301,1511.60361013335,1434.43631040189,1233.80951630068,1516.92720148405,1301.83792513604
"AFUN000012",1815.73445240341,1433.19726727159,2193.21258038502,2022.6949567403,1462.88622303087,1678.22231558476,1097.05443129442
"AFUN000013",46.2512473496348,88.0311180515915,49.4618898766698,39.3866480269783,71.2155564964317,72.1748565042061,96.9064747643401
"AFUN000014",164.117329305156,115.897083477995,120.638755796756,157.546592107913,99.1083161242008,99.7895842101632,71.3085380341371
"AFUN000018",361.058124471343,262.193401966611,358.297104716364,367.185202574088,268.245262803226,260.457090863005,314.488936971066
"AFUN000019",713.16439461695,930.343254804229,706.943108968987,693.713220088069,985.741994504776,935.135097315366,952.608931173985
"AFUN000020",1051.84288327395,729.581640254916,874.630979526478,1015.15908946954,641.533471438689,648.946101089992,650.91896256802
"AFUN000021",92.5024946992696,105.764005141121,55.4938276665075,59.7152405570316,62.3136119343778,85.9822203571847,56.6811456168782
"AFUN000022",1299.51085295264,1076.63957329285,1670.84676778506,1612.31149503985,1235.58990521309,1297.89220217998,815.477127262183
"AFUN000027",185.004989398539,133.629970567524,155.623994977815,157.546592107913,125.220686839559,88.4926501486353,60.3379937211929
"AFUN000028",158.149426421332,200.128297153258,117.019593122853,158.817129141042,179.81928015349,173.219655610095,155.416044433376
"AFUN000029",219.320430980526,200.128297153258,174.926195905296,167.71088837294,144.211501905274,161.295114100704,93.2496266600254
"AFUN000030",2977.9835390281,2091.84735916839,2800.0255220427,2768.50019518664,1963.1755074183,1415.2547949303,2777.37613522703
"AFUN000031",149.197572095596,113.997131289831,120.638755796756,96.5608145177532,96.7344642409864,91.003079940086,63.9948418255076
"AFUN000032",177.545110793759,202.661566737477,149.592057187977,123.242092213448,171.51079856224,124.266274676807,168.215012798477
"AFUN000033",1007.08361164527,749.847796928664,1048.35078787381,1059.62788562903,776.843028781909,825.3037939394,1080.598614825
"AFUN000035",966.800267179463,1295.13407493169,1143.65540495324,1050.73412639713,1582.7657431332,1405.84068321236,1782.71345085343
"AFUN000036",271.539581213985,345.157980849765,272.643588100668,243.94311036064,347.769300890908,345.184096324464,309.003664814594
"AFUN000037",140.24571776986,203.928201529586,173.719808347328,148.652832876015,154.300372408935,176.357692849408,170.043436850635
"AFUN000038",3867.20106871785,2986.09152239751,4259.75446718344,4310.93215340443,3075.32511470424,2894.5255495426,3336.87389518718
"AFUN000039",8932.45864136334,11865.8347324793,8456.77678135256,8468.12932580033,11167.1927216113,11206.5585890357,9204.28667856015
"AFUN000040",16.4117329305156,39.2656785553861,26.5405262752862,26.681277695695,32.0470004233943,18.8282234358799,9.1421202607868
"AFUN000041",86.5345918154458,96.8975615963561,83.2407414997613,60.9857775901599,94.9540753285756,82.2165756700087,168.215012798477
"AFUN000042",113.390154792653,254.593593213955,90.4790668475666,100.372425617138,214.240132460099,251.670586592927,219.410886258883
"AFUN000043",4.47592716286788,11.3997131289831,12.0638755796756,7.62322219876999,12.4627223868756,5.64846703076396,0
"AFUN000044",590.822385498561,694.115866075858,766.056099309398,828.390145599672,962.003475672632,1031.15903683835,835.589791835914
"AFUN000046",447.592716286788,765.047414433975,587.510740730199,603.505090735958,735.894083796461,795.178636441993,601.551513159772
"AFUN000047",165.609305026112,228.627579975716,129.083468702528,146.111758809758,205.338187898045,202.089598211777,261.464639458503
"AFUN000052",252.143896841558,386.95692898937,313.660765071564,336.692313779008,429.667190861805,245.394512114301,1490.16560250825
"AFUN000055",1821.70235528723,2679.56590270708,2328.32798687738,2200.57014137827,3478.87993485069,2096.83648330915,2398.89235643046
"AFUN000057",47.7432230705908,31.6658698027308,47.0491147607347,34.304499894465,22.5515928905367,21.9662606751932,25.5979367302031
"AFUN000058",11188.3259314488,8436.42103284353,12197.78459861,11846.4872968886,9166.03558406157,8477.72140572884,9922.857331058
"AFUN000060",26.8555629772073,32.93250459484,30.1596889491889,33.0339628613366,49.2574265766986,19.4558308837425,54.8527215647208
"AFUN000061",14.9197572095596,18.3662044855838,43.429952086832,69.8795368220583,40.9489449854482,35.7736245281717,18.2842405215736
"AFUN000062",17.9037086514715,23.4327436540208,44.6363396447995,57.1741664907749,38.5750931022339,3.13803723931331,7.31369620862944
"AFUN000071",85.0426160944898,107.663957329285,94.0982295214693,100.372425617138,145.398427846881,105.438051240927,294.376272397335
"AFUN000077",1535.24301686368,2236.8770428649,2387.44097721779,2279.34343743223,3064.04931825898,2104.99538013137,3561.77005360254
"AFUN000078",1024.98732029675,449.022033802722,1001.30167311307,1027.86445980082,453.405709693949,464.42951141837,312.660512918909
"AFUN000079",88.0265675364017,67.1316439817892,62.7321530143129,90.2081293521116,56.9724451971454,55.2294554119142,140.788652016117
"AFUN000080",1715.77207909936,1291.33417055536,1664.81482999523,1656.78029119934,1166.74820059987,1341.82472353037,1431.65603283921
"AFUN000081",126.817936281257,165.295840370255,96.5110046374044,107.995647815908,116.318742277505,149.998180039176,261.464639458503
"AFUN000082",1542.70289546846,2158.97900315018,2265.59583386307,2266.63806710094,3008.26379900344,2061.69046622884,2380.60811590888
"AFUN000083",31.3314901400752,34.1991393869492,79.6215788258586,60.9857775901599,77.1501862044677,42.0496990067983,74.9653861384518
"AFUN000085",171.577207909936,246.360467065245,228.007248455868,185.498406836736,287.236077868941,266.105557893769,318.145785075381
"AFUN000087",725.100200384597,1093.10582559027,735.896410360209,669.573016458631,968.531568351471,1031.15903683835,1455.42554551726
"AFUN000088",549.047065311794,431.289146713193,484.967798302957,447.229035661173,338.867356328854,437.442391160275,517.444006760533
"AFUN000089",229.764261027218,382.523707216987,213.530597760257,207.097536399918,316.315763438318,291.209855808275,325.45948128401
"AFUN000090",119.358057676477,204.561518925641,123.051530912691,91.4786663852399,124.627223868756,144.977320456275,224.896158415355
"AFUN000091",110.406203350741,92.4643398239738,97.717392195372,95.2902774846249,93.1736864161648,108.576088480241,100.563322868655
"AFUN000092",76.090761768754,59.5318352291338,69.9704783621182,54.6330924245183,36.2012412190195,82.8441831178714,91.421202607868
