"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFUN019570",351.01239407604,-3.09920556073826,0.427829024195754,-7.24402830444765,4.35550461355392e-13,4.89253833240512e-09
"AFUN019178",69.3212198556448,-5.42192702841113,0.866281381100069,-6.25885208513423,3.87821486672552e-10,2.17819937989639e-06
"AFUN004867",1921.07061145737,2.14673669431447,0.377548765445362,5.68598520453946,1.30060655651657e-08,4.86990448311687e-05
"AFUN019875",2653.01296599827,-3.24447940752509,0.589195793480894,-5.50662350855752,3.65781367530216e-08,0.000102720552536673
"AFUN017643",138.434663566467,5.17770115880518,0.97102460321017,5.33220388205191,9.70279107478259e-08,0.000136239315178791
"AFUN019671",747.539860459251,-3.10094649900908,0.577254468793193,-5.37188825145331,7.79163919015898e-08,0.000136239315178791
"AFUN022148",837.347372185351,1.99269425090354,0.372074961950937,5.35562576007546,8.52608196681443e-08,0.000136239315178791
"AFUN022282",366.867119269073,1.91083496340028,0.353420940689961,5.40668291943845,6.42026553236119e-08,0.000136239315178791
"AFUN008888",3650.03420247634,-2.1396205855988,0.404759968672643,-5.28614673189003,1.24919706027551e-07,0.00015591367308972
"AFUN008656",4022.09322081267,-2.12567215440234,0.42426895071926,-5.01019966414865,5.43735930549798e-07,0.000610778570786588
"AFUN019699",75.8912039298121,-2.78526123075975,0.55847466111571,-4.98726517904216,6.12399832407667e-07,0.000625371574312302
"AFUN017770",116.889294545644,23.151509219173,4.785235160403,4.83811316332953,1.31077509527007e-06,0.00122699472043072
"AFUN007420",63.2214403197994,3.54186897178162,0.743877651082606,4.76135956850827,1.92293085445567e-06,0.00166156017600773
"AFUN002565",1714.58190476395,1.62011323199926,0.348031959858589,4.65507027761914,3.23870218559455e-06,0.00244554539833167
"AFUN019289",293.400037027813,-3.61822716046605,0.77755119085245,-4.65336199472512,3.26566197587244e-06,0.00244554539833167
"AFUN015921",373.542706715227,2.05583661209434,0.447195430854832,4.59717714057257,4.28253505769559e-06,0.00282974801782909
"AFUN017688",5673.2078110781,-3.51584875818698,0.764709750121685,-4.59762512198585,4.273339989661e-06,0.00282974801782909
"AFUN022249",803.686676521474,-1.55316133930992,0.356701786342711,-4.35422921548724,1.33535928131244e-05,0.00833338378165703
"AFUN019467",163.851541555046,-2.62556033662501,0.614745365759208,-4.27097215020475,1.94622714108748e-05,0.0111289787179011
"AFUN019775",1056.89135942372,-2.69229278931117,0.630961621710562,-4.26696758831743,1.98147934085304e-05,0.0111289787179011
"AFUN006446",5052.3514379667,-2.3554983038395,0.554369072269938,-4.24897134718321,2.14754382578688e-05,0.0114873141881257
"AFUN017403",14212.4101987181,-1.66690524633607,0.395658558866862,-4.21298922765622,2.52013086859557e-05,0.0115099529921818
"AFUN017823",112.154694477057,4.98674686418491,1.18469760890518,4.20929934077722,2.56163825162062e-05,0.0115099529921818
"AFUN018482",44.9087667053748,3.59380589866394,0.851090246791225,4.22259086179554,2.41509987518615e-05,0.0115099529921818
"AFUN020266",849.959112101628,-1.48000842743676,0.350654771535805,-4.22069952436292,2.43545386122094e-05,0.0115099529921818
"AFUN000622",659.923665879872,2.53636034766426,0.606180253035615,4.18416854551553,2.86211708691001e-05,0.0123654466297154
"AFUN004327",773.47787305834,1.83754470899673,0.442689991730479,4.15086119705067,3.3122660269365e-05,0.013780253437251
"AFUN003034",1392.41378989104,1.98826862357675,0.481369278107869,4.13044353680419,3.62064015356277e-05,0.0145252324446323
"AFUN008936",548.594232883488,2.62701847374035,0.647228434552792,4.05887370439079,4.93099720618126e-05,0.0172885499880922
"AFUN017587",5634.13329309691,1.91945252041594,0.4715905093763,4.07016783046484,4.69792813816373e-05,0.0172885499880922
"AFUN017819",214.341470125537,-3.88345760936417,0.958370525558454,-4.05214633150496,5.07499056758807e-05,0.0172885499880922
"AFUN019021",52.8890329562451,2.88660696700929,0.712397273942607,4.05196239878066,5.07898290400643e-05,0.0172885499880922
"AFUN019758",859.006308289961,1.6368483870454,0.403072493784557,4.06092802730494,4.88780389601038e-05,0.0172885499880922
"AFUN002942",189.344289505855,1.81449727469845,0.449454341489471,4.03711146428197,5.41133619754752e-05,0.0177140311476656
"AFUN017613",208.402760339079,3.46840286116855,0.860118756493848,4.03246974325615,5.51937229741206e-05,0.0177140311476656
"AFUN004215",1063.94297363603,1.87361299219623,0.476879909495719,3.92889898460495,8.53356741806574e-05,0.026627100779759
"AFUN017647",808.14687563695,-3.31182267062263,0.859391740276017,-3.85368222128705,0.000116354593781941,0.035324625728447
"AFUN009405",1043.76104522886,1.4161745499637,0.375668431885352,3.7697459508546,0.000163413802042321,0.0483059799563524
"AFUN017727",89071.266386743,1.12055311931507,0.298038457444639,3.75976016290857,0.000170076328400274,0.0489863435107762
"AFUN017869",3963.05765214856,-6.35122848525984,1.69407659706103,-3.74907988002329,0.000177484551691139,0.0498420992286641
"AFUN003702",8148.33451185944,-2.18632976707984,0.584741890018358,-3.73896552376502,0.000184779063392527,0.0506249565631283
"AFUN015937",735.686858104547,1.8694681071196,0.507089246783389,3.68666486023549,0.000227212267707628,0.0607684619799948
"AFUN022251",58.1329880234414,-2.95344659875134,0.803641032589892,-3.67508188230916,0.000237773144328897,0.0621140867499186
"AFUN021467",176.502441772587,-1.57691166194907,0.434385454597832,-3.63021285648025,0.000283187588097827,0.0722965040250657
"AFUN019513",37.7274313986961,-2.98869826599258,0.825679281369812,-3.61968422052967,0.000294962755119915,0.0723872518624709
"AFUN020453",1730.34889707858,1.20732817812599,0.333663657577623,3.61839879983071,0.000296431370575417,0.0723872518624709
"AFUN020845",560.374814580793,-1.59640236323647,0.442129256061346,-3.61071415508177,0.000305355051292659,0.0729798572589455
"AFUN006177",124.113380714892,2.21258600012384,0.617923763222104,3.58067796031426,0.000342703835539912,0.0801998371795799
"AFUN002314",747.30643841747,2.01911343850276,0.565248346205702,3.57208199202405,0.000354154487282703,0.0811881092989103
