"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFUN017661",4265.82233768634,6.50122369161984,0.426962256552836,15.2266941441353,2.35186487365782e-52,2.67430554783631e-48
"AFUN017753",164345.105583264,-5.53142370853513,0.368316097390043,-15.0181426978941,5.58507995886736e-51,3.17539721061404e-47
"AFUN017599",1346.65306542276,6.37767873111191,0.517351583513895,12.3275523538445,6.43724840061271e-35,2.4399317187789e-31
"AFUN008656",1074.10923430082,4.63303418980232,0.418645563464522,11.0667222923884,1.81933800995555e-28,5.17192312780113e-25
"AFUN007013",662.440348438471,4.47414329126856,0.413100839493037,10.8306322900706,2.46447630495257e-27,5.60471201272314e-24
"AFUN019671",311.968055371652,5.44631540347181,0.538773831896987,10.1087229576382,5.05387261509562e-24,9.57793091770871e-21
"AFUN017561",6143.1175803609,7.55038729789265,0.760668480467949,9.92598943135884,3.20904055316825e-23,5.18313142148774e-20
"AFUN017724",42338.4385829405,-3.72669765924019,0.375931660082074,-9.91323172521985,3.64656154884372e-23,5.18313142148774e-20
"AFUN017663",7861.54862885547,7.47453631894114,0.762982718045236,9.7964687038927,1.16590518660501e-22,1.47305643076506e-19
"AFUN015955",318.926335271748,4.577970827813,0.473630865065797,9.66569361390125,4.21753128141224e-22,4.35977710917624e-19
"AFUN019289",265.926193367096,5.15344001257593,0.533144433506576,9.66612364060699,4.19985402889823e-22,4.35977710917624e-19
"AFUN017849",2080.58496138741,6.57924723665231,0.682069633350188,9.64600520966808,5.11079858115294e-22,4.84290755552417e-19
"AFUN017639",3181.598294408,4.17889880417659,0.437841616880623,9.54431612496984,1.37008542845816e-21,1.19840318515367e-18
"AFUN001867",1429.41890745781,4.30859548371999,0.458757732515677,9.39187544609453,5.8941252847923e-21,4.78729275809809e-18
"AFUN017426",147.993687567524,6.97982164430019,0.745683645813055,9.36029867825485,7.95116034616466e-21,6.02750961974922e-18
"AFUN017828",10546.4519289909,-6.46812107064701,0.701298297890464,-9.2230668320505,2.88721757043183e-20,2.05190943708627e-17
"AFUN017840",210.661234423676,6.90546551645791,0.775255613432617,8.90734023309088,5.22714529830816e-19,3.30210384372567e-16
"AFUN017866",240.841163240693,5.86334765393178,0.657906708528813,8.91212626033739,5.00630768672231e-19,3.30210384372567e-16
"AFUN019775",298.873081308653,4.62668981034698,0.52135377991548,8.87437664899455,7.03261822485361e-19,4.20883693867423e-16
"AFUN000834",449.70427394641,4.58172631796649,0.522536510522189,8.7682415021829,1.81478256778631e-18,1.0317946289149e-15
"AFUN017522",8115.94887498045,5.92342770243241,0.677464591854929,8.74352368175257,2.25950494732377e-18,1.22346813123898e-15
"AFUN017778",7115.26978808426,8.98951458053781,1.05249533723006,8.54114432867348,1.32899095330153e-17,6.86907096817802e-15
"AFUN017800",173.318227464376,7.62904030083562,0.897546618527845,8.49988194858197,1.89783600350146e-17,9.38273617209354e-15
"AFUN017539",9234.82430387622,7.79711221994807,0.968095383823366,8.05407437142649,8.00825168589774e-16,3.79424291334764e-13
"AFUN017549",1467.87325442414,5.37136145481095,0.670476149790401,8.01126401959279,1.13535415707309e-15,5.16404484803125e-13
"AFUN017648",11975.8123100641,3.6627748022902,0.458495036872603,7.98869018795495,1.36379945772749e-15,5.96452447454589e-13
"AFUN011407",2164.79794658995,3.01067240176631,0.377786860330406,7.96923534908869,1.59659148273155e-15,6.724015463015e-13
"AFUN002520",405.845234669517,3.36962052375687,0.423683088805296,7.95316266518577,1.81809373551122e-15,7.38340852374932e-13
"AFUN018743",264.680360321052,3.82507678593408,0.488246285251621,7.83431825592447,4.71393384725361e-15,1.84834971645244e-12
"AFUN017543",7248.87459683375,-5.00172787226427,0.639262340503384,-7.82421793895395,5.10822463179669e-15,1.93618740960534e-12
"AFUN017807",2145.84328121,-3.44590135454459,0.44075836678356,-7.81811898363064,5.36184987222266e-15,1.96676112571109e-12
"AFUN019570",235.53755430823,4.2251608800525,0.541256673841122,7.80620560309752,5.89354079424465e-15,2.09423288660487e-12
"AFUN017841",135.49632454804,4.47498936283697,0.574329887225347,7.79167071464128,6.61288879075374e-15,2.2786411648382e-12
"AFUN017350",223.578353167745,3.66851269536582,0.472134104926659,7.77006502407971,7.84458457249419e-15,2.62355209334798e-12
