"","gene_id","kombewa_05_susceptible","komb_06_susceptible","komb_04_susceptible","PortVict_susceptible","teso_susceptible","kombe_01_resistant","komb_02_resistant","Siaya_resistant","PortVict_resistant","Teso_resistant"
"3339","AFUN004976",197,49,48,30,24,44,14,61,75,140
"3340","AFUN004977",491,304,332,149,317,408,272,444,525,829
"3341","AFUN004978",71,18,25,80,74,92,39,147,165,159
"3342","AFUN004979",848,259,288,517,310,496,144,685,669,708
"3343","AFUN004980",41,38,25,12,36,51,49,63,56,90
"3344","AFUN004982",606,396,436,335,360,607,333,621,445,701
"3345","AFUN004983",666,376,460,233,429,317,168,315,169,252
"3346","AFUN004985",269,105,110,214,133,306,108,393,353,460
"3347","AFUN004986",29,14,18,54,31,53,18,56,73,123
"3348","AFUN004987",2725,1762,1922,892,1842,3057,1769,3229,2465,4277
"3349","AFUN004988",195,106,86,134,79,175,87,274,212,253
"3350","AFUN004989",2325,842,859,667,780,1415,469,1211,1094,2719
"3351","AFUN004990",145,82,76,44,143,168,59,154,222,232
"3352","AFUN004992",21430,6916,7366,11109,8235,14485,4262,16510,11568,15932
"3353","AFUN004993",61,34,34,57,46,56,34,85,73,88
"3354","AFUN004995",423,130,169,541,125,368,123,718,364,290
"3355","AFUN004996",615,201,201,455,269,447,140,739,389,489
"3356","AFUN004997",2147,777,800,1746,1309,1501,440,2327,1819,1988
"3357","AFUN004998",2744,1881,1974,1779,1588,1631,946,1677,1841,3315
"3358","AFUN004999",36,10,11,20,41,27,22,65,88,88
"3359","AFUN005002",40,17,20,52,158,17,5,14,10,8
"3360","AFUN005003",404,262,268,98,328,402,267,416,344,705
"3361","AFUN005004",165,52,55,143,114,138,60,277,138,246
"3362","AFUN005005",788,550,536,696,721,508,303,569,457,573
"3363","AFUN005006",1167,657,776,734,717,1101,602,1514,1369,1819
"3364","AFUN005007",2374,726,813,8329,1267,1809,539,3922,950,1153
"3365","AFUN005008",130,62,65,95,96,113,56,132,128,157
"3366","AFUN005009",2449,1579,1616,1114,1512,2212,1311,2544,2259,3337
"3367","AFUN005010",321,122,136,238,119,313,114,400,458,630
"3368","AFUN005011",101,68,63,109,47,96,62,186,164,177
"3369","AFUN005012",111,50,59,83,63,208,57,237,149,237
"3370","AFUN005017",9,10,6,2,39,6,17,23,12,7
"3371","AFUN005018",151,65,70,117,283,226,64,76,113,135
"3372","AFUN005019",2257,829,911,2257,1150,2935,892,4274,2304,2923
"3373","AFUN005020",30,11,12,20,12,30,15,71,42,52
"3374","AFUN005022",7401,2597,2847,5540,3147,12624,4190,14411,5876,8165
"3375","AFUN005023",346,205,199,352,183,472,195,695,326,423
"3376","AFUN005024",2016,626,748,1201,572,1992,653,2510,1903,2651
"3377","AFUN005025",7276,2625,2664,3776,3826,5035,1666,4876,3767,5766
"3378","AFUN005026",429,120,166,128,174,467,113,473,533,672
"3379","AFUN005027",745,480,503,542,755,759,456,1137,568,741
"3380","AFUN005028",15084,5257,5494,6506,8733,11362,3673,12030,6222,8413
"3381","AFUN005029",173,46,65,82,78,215,60,179,179,299
"3382","AFUN005030",2032,1248,1229,2013,1667,1941,1015,2715,910,1492
"3383","AFUN005031",6227,3665,3799,5390,4351,5155,2652,8203,4572,6110
"3384","AFUN005032",623,181,208,398,165,674,179,959,962,922
"3385","AFUN005033",65,26,43,166,660,76,48,108,115,152
"3386","AFUN005034",945,593,612,615,731,531,287,945,698,1433
"3387","AFUN005035",4325,2714,2820,850,1936,4949,2764,5454,3632,6737
"3388","AFUN005036",583,191,251,274,1383,398,129,457,332,622
"3389","AFUN005038",86,18,23,56,57,77,25,55,78,57
"3390","AFUN005039",6455,1982,2304,3831,3219,4839,1576,7514,3919,5068
"3391","AFUN005040",2053,672,769,1463,1198,1596,450,2208,1911,2458
"3392","AFUN005041",336,220,228,197,350,239,129,333,142,243
"3393","AFUN005042",49,30,33,46,159,68,20,56,50,110
"3394","AFUN005043",10685,3737,3812,6966,2448,7866,2554,12099,9780,10179
"3395","AFUN005044",943,351,361,503,493,1050,250,1093,800,1107
"3396","AFUN005047",206,151,147,162,144,208,130,371,234,416
"3397","AFUN005048",539,178,184,235,132,484,157,595,706,743
"3398","AFUN005049",46,29,31,50,34,50,23,123,41,97
"3399","AFUN005050",1,0,0,0,4,3,0,3,0,1
"3400","AFUN005051",150,147,91,139,126,131,62,112,35,33
"3401","AFUN005052",372,121,95,113,87,278,96,358,444,560
"3402","AFUN005053",655,378,411,192,480,577,352,638,438,878
"3403","AFUN005054",6144,3894,4177,3599,4732,4117,2314,5442,3339,3634
"3404","AFUN005055",129,38,29,94,45,145,48,167,158,131
"3405","AFUN005063",138,48,51,92,128,174,52,84,93,146
"3406","AFUN005065",15,11,5,6,13,14,6,14,14,45
"3407","AFUN005067",1308,805,854,654,933,1434,865,1891,915,1560
