"","PortVict_resistant","PortVict_susceptible","Siaya_susceptible","Siaya_resistant"
"AFUN000003",194.1130984293,87.7871745749368,137.89002615928,137.998728890844
"AFUN000006",83.7751266905402,28.757867533169,49.3014618670051,48.8909782356133
"AFUN000007",2358.98496985924,3254.17974717438,2676.14497696837,2576.23912735078
"AFUN000008",1263.77843556339,764.353847592122,492.244283328379,773.581445953817
"AFUN000009",1264.80008344986,1071.6089586044,764.172658938579,1182.05768347071
"AFUN000011",1903.33001249361,2336.95513006383,2103.78581810611,2122.81473242373
"AFUN000012",1842.03113930541,1372.80978171496,1935.85271362162,2027.39846844777
"AFUN000013",244.173844866331,146.816481616705,110.157953859089,152.981448027564
"AFUN000014",166.52860549461,127.140045936115,171.014445851174,160.86708967847
"AFUN000015",0,7.56785987714972,21.5693895668147,0.788564165090537
"AFUN000018",578.252703742021,208.872932609332,401.344713011088,370.625157592552
"AFUN000019",1806.27346327896,781.003139321852,1458.24480178501,1558.99135438399
"AFUN000020",523.083717872641,3116.44469741026,1449.00077768495,1420.20406132806
"AFUN000021",169.59354915402,107.463610255526,163.311092434454,164.809910503922
"AFUN000022",1136.07244975464,2026.6728751007,2341.04910334107,1392.60431554989
"AFUN000027",111.35961962523,190.710068904173,130.957008084232,140.364421386116
"AFUN000028",397.421027836831,72.6514548206374,230.330267159914,201.083862098087
"AFUN000029",230.892422342221,180.115065076163,244.966638651682,246.032019508248
"AFUN000030",2298.70774455751,1693.68704050611,1647.74729583631,3810.34204571747
"AFUN000031",166.52860549461,66.5971669189176,128.646002059216,124.593138084305
"AFUN000032",426.027168657991,161.952201371004,210.301548276444,313.848537706034
"AFUN000033",1487.51932270032,1707.30918828498,914.38805056461,1348.44472230482
"AFUN000035",2700.21536394022,2554.90949452575,2327.18306719097,2464.26301590793
"AFUN000036",425.005520771521,520.668759547901,452.186845561437,397.436339205631
"AFUN000037",321.819084238051,201.305072732183,238.803955918306,252.340532828972
"AFUN000038",4307.26748935753,5386.80266055517,3700.69098139207,4653.31713819926
"AFUN000039",13416.2800451241,14860.2496547712,13332.1937583165,16382.4205297559
"AFUN000040",13.28142252411,28.757867533169,33.124419691894,18.9255399621729
"AFUN000041",168.57190126755,204.332216683043,350.502580460739,121.438881423943
"AFUN000042",421.940577112111,369.311562004907,299.66044791039,432.921726634705
"AFUN000043",11.23812675117,18.1628637051593,26.9617369585184,20.502668292354
"AFUN000044",1262.75678767692,1634.65773346434,2298.68065954911,1231.73722587142
"AFUN000046",846.946097883632,956.577488471725,909.766038514578,1420.99262549315
"AFUN000047",328.970619443341,248.225803970511,260.373345485121,350.122489300198
