"","Teso_resistant","Teso_resistant.1","teso1_susceptible","siaya_unexposed"
"AFUN000003",132.730326290039,132.730326290039,97.915363250981,117.16508930358
"AFUN000006",54.1400015130423,54.1400015130423,41.2275213688341,33.7976219144942
"AFUN000007",1911.20026846578,1911.20026846578,1412.04260688257,1863.37555488578
"AFUN000008",952.980456740326,952.980456740326,487.000096169353,880.991344571148
"AFUN000009",870.315078086003,870.315078086003,735.653584425134,1124.33422235551
"AFUN000011",1411.13294266252,1411.13294266252,2855.00585479176,1604.26045354132
"AFUN000012",1914.1110212353,1914.1110212353,1649.10085475336,1351.90487657977
"AFUN000013",161.25570343132,161.25570343132,30.9206410266256,119.418264097879
"AFUN000014",161.25570343132,161.25570343132,148.161404919248,87.8738169776848
"AFUN000018",415.073344933325,415.073344933325,356.87573184897,387.546064619533
"AFUN000019",2172.00371661463,2172.00371661463,760.132425237879,1173.9040678301
"AFUN000020",451.748829829256,451.748829829256,1624.62201394062,802.130226770661
"AFUN000021",220.635059929495,220.635059929495,163.62172543256,69.8484186232879
"AFUN000022",1038.55658816417,1038.55658816417,2427.27032059011,1004.91595825763
"AFUN000027",93.144088624589,93.144088624589,163.62172543256,74.3547682118871
"AFUN000028",329.497213509483,329.497213509483,106.933883550413,191.519857515467
"AFUN000029",162.420004539127,162.420004539127,133.989444448711,114.91191450928
"AFUN000030",1680.08649856602,1680.08649856602,1262.59284192054,3422.57251254111
"AFUN000031",148.448391245439,148.448391245439,88.8968429515485,78.8611178004864
"AFUN000032",384.801516130333,384.801516130333,108.22224359319,207.292081075564
"AFUN000033",767.856580598955,767.856580598955,840.010747889995,1331.62630343107
"AFUN000035",2228.47232034329,2228.47232034329,1250.99760153556,2196.84542444212
"AFUN000036",466.884744230752,466.884744230752,235.76988782802,380.786540236634
"AFUN000037",283.507319751093,283.507319751093,135.277804491487,209.545255869864
"AFUN000038",2954.99621161508,2954.99621161508,4239.99290077603,4112.04399959679
"AFUN000039",10039.7684526229,10039.7684526229,8263.54131436569,11342.4819145042
"AFUN000040",23.2860221561472,23.2860221561472,27.0555608982974,11.2658739714981
"AFUN000041",270.117857011308,270.117857011308,189.388926288082,207.292081075564
"AFUN000042",298.643234152588,298.643234152588,122.394204063726,270.380975315953
"AFUN000044",1111.32540740213,1111.32540740213,2602.48728640765,1029.70088099492
"AFUN000046",877.883035286751,877.883035286751,820.685347248354,741.294507324572
"AFUN000047",357.44044009686,357.44044009686,99.2037232937571,322.203995584844
"AFUN000052",614.750984922287,614.750984922287,1450.69340816585,1836.33745735418
"AFUN000055",2109.13145679304,2109.13145679304,3482.43719562371,2956.16533012109
"AFUN000057",13.9716132936883,13.9716132936883,72.1481623954597,31.5444471201945
"AFUN000058",6869.37653606344,6869.37653606344,14818.7172120103,12227.979608664
"AFUN000060",89.0690347472632,89.0690347472632,33.4973611121777,67.5952438289883
"AFUN000061",6.98580664684417,6.98580664684417,72.1481623954597,22.5317479429961
"AFUN000071",281.760868089382,281.760868089382,105.645523507637,362.761141882237
"AFUN000077",2100.98134903838,2100.98134903838,3785.20180567608,4389.18449929564
"AFUN000078",527.428401836735,527.428401836735,966.270032082049,385.292889825233
"AFUN000079",107.115701918277,107.115701918277,77.301602566564,173.49445916107
"AFUN000080",1645.73961588571,1645.73961588571,1576.9526923579,1764.2358639366
"AFUN000081",243.921082085642,243.921082085642,94.0502831226528,322.203995584844
"AFUN000082",2351.30608721697,2351.30608721697,2400.21475969181,2933.63358217809
"AFUN000083",79.1724753309006,79.1724753309006,61.8412820532512,92.380166566284
"AFUN000085",511.710336881336,511.710336881336,243.500048084676,392.052414208132
"AFUN000087",1546.77402172208,1546.77402172208,416.140293816669,1793.52713626249
"AFUN000088",491.335067494707,491.335067494707,463.809615399384,637.64846678679
"AFUN000089",280.596566981574,280.596566981574,155.891565175904,401.065113385331
"AFUN000090",267.789254795693,267.789254795693,78.58996260934,277.140499698852
"AFUN000091",80.9189269926117,80.9189269926117,88.8968429515485,123.924613686479
"AFUN000092",96.0548413941074,96.0548413941074,50.2460416682666,112.658739714981
"AFUN000093",1619.54284096004,1619.54284096004,668.658862200778,1701.14696969621
"AFUN000095",192.109682788215,192.109682788215,135.277804491487,184.760333132568
"AFUN000096",44.2434420966798,44.2434420966798,48.9576816254905,45.0634958859922
"AFUN000097",1820.38478205681,1820.38478205681,3075.31542210647,1255.01836042488
"AFUN000098",180.466671710141,180.466671710141,124.970924149278,182.507158338268
"AFUN000099",49.4827970818129,49.4827970818129,32.2090010694016,76.6079430061868
"AFUN000100",9.3144088624589,9.3144088624589,42.5158814116102,6.75952438289883
"AFUN000103",32.6004310186061,32.6004310186061,65.7063621815794,38.3039715030934
"AFUN000104",78.0081742230932,78.0081742230932,150.7381250048,232.07700381286
"AFUN000105",202.006242204577,202.006242204577,135.277804491487,193.773032309767
"AFUN000106",3006.22546035861,3006.22546035861,1549.89713145961,1631.29855107292
"AFUN000108",23.2860221561472,23.2860221561472,20.6137606844171,0
"AFUN000109",2516.05469397171,2516.05469397171,1261.30448187777,2007.57874172095
"AFUN000110",1147.41874174416,1147.41874174416,521.785817324307,1140.1064459156
"AFUN000111",319.600654093121,319.600654093121,399.39161326058,520.48337748321
"AFUN000114",247.413985409064,247.413985409064,774.304385708416,317.697645996245
"AFUN000117",1657.38262696378,1657.38262696378,2900.09845628892,2266.69384306541
"AFUN000118",30.8539793568951,30.8539793568951,660.928701944122,112.658739714981
"AFUN000119",192.691833342118,192.691833342118,255.095288469661,252.355576961556
"AFUN000120",68.1116148067307,68.1116148067307,50.2460416682666,103.646040537782
"AFUN000121",76.2617225613822,76.2617225613822,94.0502831226528,78.8611178004864
"AFUN000122",68.6937653606344,68.6937653606344,78.58996260934,83.3674673890856
"AFUN000125",377.233558929585,377.233558929585,425.158814116102,283.900024081751
"AFUN000126",31.4361299107988,31.4361299107988,182.947126074201,20.2785731486965
"AFUN000130",235.188823777087,235.188823777087,163.62172543256,227.570654224261
"AFUN000133",62.2901092676939,62.2901092676939,33.4973611121777,20.2785731486965
"AFUN000134",59.3793564981755,59.3793564981755,16.7486805560889,40.557146297393
"AFUN000136",3153.50955049624,3153.50955049624,3309.79694989171,3692.95348785706
"AFUN000139",81.5010775465153,81.5010775465153,91.4735630371007,94.6333413605836
"AFUN000140",48.9006465279092,48.9006465279092,52.8227617538187,27.0380975315953
"AFUN000148",124.580218535388,124.580218535388,106.933883550413,135.190487657977
"AFUN000149",156.016348446186,156.016348446186,77.301602566564,33.7976219144942
"AFUN000150",17.4645166171104,17.4645166171104,56.6878418821469,11.2658739714981
"AFUN000151",1311.00304739109,1311.00304739109,793.629786350057,748.054031707471
"AFUN000153",135.058928505654,135.058928505654,128.836004277607,117.16508930358
"AFUN000154",12.807312185881,12.807312185881,32.2090010694016,6.75952438289883
"AFUN000157",159.509251769609,159.509251769609,105.645523507637,173.49445916107
"AFUN000159",37.2576354498356,37.2576354498356,46.3809615399384,54.0761950631907
"AFUN000160",13.3894627397847,13.3894627397847,6.44180021388033,4.50634958859922
"AFUN000163",901.169057442898,901.169057442898,1055.1668750336,1079.27072646951
"AFUN000164",117.594411888544,117.594411888544,39.939161326058,128.430963275078
"AFUN000165",1056.60325533518,1056.60325533518,1051.30179490527,1689.88109572471
"AFUN000166",19.7931188327252,19.7931188327252,0,69.8484186232879
"AFUN000168",23.8681727100509,23.8681727100509,74.7248824810118,87.8738169776848
"AFUN000169",304.464739691625,304.464739691625,224.174647443035,358.254792293638
"AFUN000179",274.775061442537,274.775061442537,212.579407058051,423.596861328327
"AFUN000180",640.365609294049,640.365609294049,405.833413474461,671.446088701284
"AFUN000181",22.7038716022436,22.7038716022436,5.15344017110426,4.50634958859922
"AFUN000183",369.665601728837,369.665601728837,110.798963678742,245.596052578658
"AFUN000186",428.462807673109,428.462807673109,471.53977565604,322.203995584844
"AFUN000188",3404.99858978263,3404.99858978263,2026.59034728675,2244.16209512241
"AFUN000189",156.016348446186,156.016348446186,122.394204063726,344.73574352784
"AFUN000190",168.823660632067,168.823660632067,569.455138907021,114.91191450928
"AFUN000191",32.6004310186061,32.6004310186061,82.4550427376682,22.5317479429961
"AFUN000192",237.517425992702,237.517425992702,100.492083336533,157.722235600973
"AFUN000193",1744.70521004933,1744.70521004933,1230.38384085114,1892.66682721167
"AFUN000194",1515.92004236519,1515.92004236519,507.61385685377,1363.17075055126
"AFUN000195",760.870773952111,760.870773952111,510.190576939322,567.800048163502
"AFUN000197",957.637661171555,957.637661171555,1937.6935043352,1250.51201083628
"AFUN000200",2431.64286365568,2431.64286365568,1392.71720624093,2532.56846879276
"AFUN000201",908.154864089742,908.154864089742,322.090010694016,655.673865141187
"AFUN000202",303.300438583818,303.300438583818,717.616543826269,964.358811960233
"AFUN000203",123.998067981484,123.998067981484,145.584684833695,114.91191450928
"AFUN000204",1220.76971153602,1220.76971153602,1343.75952461544,910.282616897043
"AFUN000205",816.175076572961,816.175076572961,1199.46319982452,675.952438289883
"AFUN000206",572.253994487318,572.253994487318,291.169369667391,414.584162151128
"AFUN000207",518.113992974276,518.113992974276,157.17992521868,290.65954846465
"AFUN000208",1667.27918638014,1667.27918638014,1048.72507481972,1140.1064459156
"AFUN000209",4521.56335216989,4521.56335216989,3972.01401187861,3131.91296407646
"AFUN000210",63.4544103755012,63.4544103755012,148.161404919248,49.5698454745914
"AFUN000211",277.103663658152,277.103663658152,340.127051292881,394.305589002432
"AFUN000213",200.84194109677,200.84194109677,334.973611121777,322.203995584844
"AFUN000215",45.9898937583908,45.9898937583908,37.3624412405059,47.3166706802918
"AFUN000216",654.337222587737,654.337222587737,517.920737195979,482.179405980117
"AFUN000217",1002.46325382214,1002.46325382214,926.330870755991,757.066730884669
"AFUN000219",150.776993461053,150.776993461053,188.100566245306,128.430963275078
"AFUN000220",601.361522182502,601.361522182502,798.783226521161,441.622259682724
"AFUN000225",606.018726613732,606.018726613732,408.410133560013,432.609560505525
"AFUN000228",153.687746230572,153.687746230572,81.1666826948921,103.646040537782
"AFUN000230",1329.0497145621,1329.0497145621,2224.99779387427,1818.31205899979
"AFUN000231",79.1724753309006,79.1724753309006,124.970924149278,87.8738169776848
"AFUN000232",106.533551364374,106.533551364374,110.798963678742,90.1269917719844
"AFUN000233",128.655272412714,128.655272412714,146.873044876472,101.392865743482
"AFUN000234",336.483020156328,336.483020156328,106.933883550413,164.481759983872
"AFUN000235",186.288177249178,186.288177249178,251.230208341333,211.798430664163
"AFUN000236",105.95140081047,105.95140081047,96.6270032082049,67.5952438289883
"AFUN000237",644.440663171375,644.440663171375,511.478936982098,374.027015853735
"AFUN000238",117.594411888544,117.594411888544,152.026485047576,74.3547682118871
"AFUN000239",19.7931188327252,19.7931188327252,37.3624412405059,15.7722235600973
"AFUN000240",330.079364063387,330.079364063387,155.891565175904,173.49445916107
"AFUN000241",340.558074033653,340.558074033653,318.224930565688,286.153198876051
"AFUN000242",920.38002572172,920.38002572172,981.730352595362,883.244519365447
"AFUN000243",261.385598702753,261.385598702753,140.431244662591,157.722235600973
"AFUN000244",394.698075546696,394.698075546696,313.071490394584,369.520666265136
"AFUN000247",37.8397860037393,37.8397860037393,10.3068803422085,60.8357194460895
"AFUN000248",582.150553903681,582.150553903681,2210.82583340373,1205.44851495029
"AFUN000249",2642.96351472271,2642.96351472271,2535.4925641833,1128.8405719441
"AFUN000251",211.90280162094,211.90280162094,68.2830822671315,137.443662452276
"AFUN000252",155.434197892283,155.434197892283,90.1852029943246,173.49445916107
"AFUN000257",14.553763847592,14.553763847592,7.7301602566564,27.0380975315953
"AFUN000258",100.712045825337,100.712045825337,162.333365389784,166.734934778171
"AFUN000259",313.19699800018,313.19699800018,316.936570522912,274.887324904552
"AFUN000260",519.860444635987,519.860444635987,367.182612191179,396.558763796731
"AFUN000261",62.2901092676939,62.2901092676939,51.5344017110426,51.823020268891
"AFUN000262",234.606673223183,234.606673223183,126.259284192054,313.191296407646
"AFUN000263",87.9047336394558,87.9047336394558,145.584684833695,47.3166706802918
"AFUN000265",345.215278464883,345.215278464883,251.230208341333,272.634150110253
"AFUN000266",259.056996487138,259.056996487138,1171.11927888344,561.040523780603
"AFUN000267",1333.12476843943,1333.12476843943,1020.38115387864,894.510393336945
"AFUN000268",78.0081742230932,78.0081742230932,41.2275213688341,69.8484186232879
"AFUN000269",50.0649476357166,50.0649476357166,33.4973611121777,83.3674673890856
"AFUN000270",215.395704944362,215.395704944362,306.629690180704,434.862735299825
"AFUN000271",102.458497487048,102.458497487048,305.341330137928,126.177788480778
"AFUN000273",94.8905402863,94.8905402863,81.1666826948921,119.418264097879
"AFUN000277",742.824106781097,742.824106781097,271.84396902575,265.874625727354
"AFUN000278",29.6896782490877,29.6896782490877,18.0370405988649,83.3674673890856
"AFUN000279",15.1359144014957,15.1359144014957,15.4603205133128,78.8611178004864
"AFUN000282",514.03893909695,514.03893909695,180.370405988649,173.49445916107
"AFUN000283",392.369473331081,392.369473331081,684.119182714091,484.432580774416
"AFUN000284",8607.67809001983,8607.67809001983,7262.48556112868,10040.1468833991
"AFUN000287",25.0324738178583,25.0324738178583,43.8042414543862,42.8103210916926
"AFUN000288",6.40365609294049,6.40365609294049,86.3201228659964,60.8357194460895
"AFUN000294",628.140447662072,628.140447662072,360.740811977298,680.458787878482
"AFUN000296",112.35505690341,112.35505690341,47.6693215827144,166.734934778171
"AFUN000297",179.302370602334,179.302370602334,511.478936982098,389.799239413833
"AFUN000298",516.367541312565,516.367541312565,472.828135698816,326.710345173444
"AFUN000301",473.870550877596,473.870550877596,468.963055570488,511.470678306012
"AFUN000302",373.158505052259,373.158505052259,204.849246801394,272.634150110253
"AFUN000303",66.3651631450196,66.3651631450196,24.4788408127453,22.5317479429961
"AFUN000304",94.8905402863,94.8905402863,39.939161326058,90.1269917719844
"AFUN000305",319.600654093121,319.600654093121,141.719604705367,198.279381898366
"AFUN000306",289.328825290129,289.328825290129,46.3809615399384,191.519857515467
"AFUN000309",67.529464252827,67.529464252827,128.836004277607,209.545255869864
"AFUN000319",45.4077432044871,45.4077432044871,180.370405988649,76.6079430061868
"AFUN000320",26.1967749256656,26.1967749256656,37.3624412405059,76.6079430061868
"AFUN000321",294.568180275263,294.568180275263,1491.92092953468,885.497694159747
"AFUN000322",230.531619345858,230.531619345858,257.672008555213,178.000808749669
"AFUN000323",514.621089650854,514.621089650854,736.94194446791,279.393674493152
"AFUN000333",518.113992974276,518.113992974276,374.912772447835,387.546064619533
"AFUN000334",1255.69874477024,1255.69874477024,916.023990413783,928.30801525144
"AFUN000335",263.714200918368,263.714200918368,399.39161326058,168.988109572471
"AFUN000336",2379.24931380434,2379.24931380434,2892.36829603227,1496.10806341494
"AFUN000337",482.602809186152,482.602809186152,715.039823740717,450.634958859922
"AFUN000338",17.4645166171104,17.4645166171104,23.1904807699692,11.2658739714981
"AFUN000339",654.337222587737,654.337222587737,1260.01612183499,1246.00566124768
"AFUN000343",118.176562442447,118.176562442447,127.547644234831,150.962711218074
"AFUN000344",266.624953687886,266.624953687886,233.193167742468,297.419072847549
"AFUN000349",60.5436576059828,60.5436576059828,23.1904807699692,2.25317479429961
"AFUN000350",888.361745257017,888.361745257017,1042.28327460584,669.192913906984
"AFUN000354",3990.05989645583,3990.05989645583,2243.03483447313,1737.197766405
"AFUN000357",39.0040871115466,39.0040871115466,72.1481623954597,45.0634958859922
"AFUN000362",1455.3763847592,1455.3763847592,1692.90509620775,1241.49931165909
"AFUN000365",6.98580664684417,6.98580664684417,38.650801283282,0
"AFUN000373",121.669465765869,121.669465765869,117.240763892622,112.658739714981
"AFUN000374",302.13613747601,302.13613747601,662.217061986898,322.203995584844
"AFUN000375",290.493126397937,290.493126397937,457.367815185503,256.861926550156
"AFUN000379",3338.63342663761,3338.63342663761,2891.07993598949,2602.41688741605
"AFUN000380",365.590547851512,365.590547851512,1570.51089214402,538.508775837607
"AFUN000383",185.123876141371,185.123876141371,262.825448726317,191.519857515467
"AFUN000389",1327.30326290039,1327.30326290039,1958.30726501962,1331.62630343107
"AFUN000390",1979.89403382642,1979.89403382642,3209.30486655518,1635.80490066152
"AFUN000392",18.0466671710141,18.0466671710141,11.5952403849846,24.7849227372957
"AFUN000394",205.499145527999,205.499145527999,72.1481623954597,608.357194460895
